"uid","amb_count","hum_count"
"10035",1,2
"10065",1,1
"10069",1,1
"10118",2,16
"10148",1,1
"10185",1,1
"10342",1,2
"10402",1,1
"10425",2,5
"10493",1,3
"10505",1,2
"10524",1,1
"106",1,3
"10636",2,6
"10657",1,3
"10686",1,7
"10688",1,3
"10692",2,4
"10699",1,4
"10706",1,2
"10707",2,10
"10738",1,4
"10747",1,2
"10807",1,1
"10813",2,6
"10883",1,61
"10898",1,1
"10920",1,3
"10921",2,6
"10924",1,2
"1099",1,2
"11008",1,3
"11032",1,1
"11037",1,3
"11057",1,4
"11075",1,1
"11080",1,7
"11087",1,1
"11092",1,2
"1110",1,2
"11117",1,1
"11123",1,1
"11143",1,2
"1121",1,2
"11217",1,2
"11226",3,4
"11244",1,2
"11271",2,2
"11290",1,4
"1130",1,2
"11325",3,30
"11339",1,9
"11348",1,1
"11355",1,1
"11364",1,1
"11370",1,1
"11386",1,2
"11398",1,1
"11401",1,2
"11427",1,7
"11439",1,31
"11522",1,2
"11543",2,11
"1159",1,2
"11686",1,2
"1171",1,3
"1173",1,4
"11804",1,3
"11831",1,1
"1184",1,1
"11886",1,1
"11931",3,10
"1201",1,2
"1208",1,1
"12093",1,1
"12097",1,7
"12165",1,3
"12166",1,1
"1222",1,2
"12228",2,8
"12234",1,1
"1230",1,3
"12331",1,8
"12350",1,1
"12402",1,2
"1244",1,3
"1245",3,12
"12472",1,3
"12477",1,1
"1271",1,1
"129",1,1
"1293",1,4
"1297",1,1
"1366",1,1
"1373",1,4
"1397",1,1
"144",1,2
"1441",1,3
"1444",1,10
"1462",1,3
"1465",1,4
"1484",2,6
"1527",1,8
"1534",1,10
"1554",4,5
"1573",1,1
"1583",1,2
"1588",1,3
"1589",1,1
"1616",1,1
"1620",1,1
"1626",1,2
"1654",2,2
"1666",1,3
"1669",1,3
"1686",1,1
"1726",1,1
"1735",1,1
"1751",1,1
"1752",1,2
"1765",1,1
"1777",1,1
"178",1,5
"1798",1,1
"1842",1,1
"1891",1,4
"1893",1,2
"191",1,1
"1924",1,4
